Ticker,Name,Sector,P/E Ratio,Market Cap
MMM,3M,Industrials,19.950413,78114816000
AOS,A. O. Smith,Industrials,18.074379,9416937472
ABT,Abbott Laboratories,Health Care,17.123037,226883747840
ABBV,AbbVie,Health Care,86.256294,363153883136
ACN,Accenture,Information Technology,25.068367,190652383232
ADBE,Adobe Inc.,Information Technology,25.442612,164389601280
AMD,Advanced Micro Devices,Information Technology,103.22,167265943552
AES,AES Corporation,Utilities,5.236287,8834691072
AFL,Aflac,Financials,11.40187,59930484736
A,Agilent Technologies,Health Care,26.763762,33268670464
APD,Air Products,Materials,16.923565,65023057920
ABNB,Airbnb,Consumer Discretionary,29.293692,74989527040
AKAM,Akamai Technologies,Information Technology,24.480124,12032956416
ALB,Albemarle Corporation,Materials,,8493225984
ARE,Alexandria Real Estate Equities,Real Estate,53.11111,16547595264
ALGN,Align Technology,Health Care,28.329184,11717474304
ALLE,Allegion,Industrials,18.783308,11070194688
LNT,Alliant Energy,Utilities,23.635689,16320478208
ALL,Allstate,Financials,12.151265,54714617856
GOOGL,Alphabet Inc. (Class A),Communication Services,19.195274,1890789490688
GOOG,Alphabet Inc. (Class C),Communication Services,19.410448,1890791718912
MO,Altria,Consumer Staples,8.891438,98311880704
AMZN,Amazon,Consumer Discretionary,34.849907,2042388676608
AMCR,Amcor,Materials,17.527273,13933078528
AEE,Ameren,Utilities,22.55656,26934753280
AEP,American Electric Power,Utilities,19.168459,57115357184
AXP,American Express,Financials,18.935806,186130694144
AIG,American International Group,Financials,20.545454,49614508032
AMT,American Tower,Real Estate,31.150288,100765024256
AWK,American Water Works,Utilities,27.081482,28518410240
AMP,Ameriprise Financial,Financials,14.599456,46203428864
AME,Ametek,Industrials,28.733559,39316983808
AMGN,Amgen,Health Care,40.65563,164895080448
APH,Amphenol,Information Technology,34.68229,80645808128
ADI,Analog Devices,Information Technology,64.60256,99968917504
ANSS,Ansys,Information Technology,48.306404,27775979520
AON,Aon plc,Financials,31.538767,85223186432
APA,APA Corporation,Energy,9.215859,7616219136
APO,Apollo Global Management,Financials,18.684858,78132944896
AAPL,Apple Inc.,Information Technology,34.5873,3273315581952
AMAT,Applied Materials,Information Technology,18.986912,117852692480
APTV,Aptiv,Consumer Discretionary,8.70546,13902133248
ACGL,Arch Capital Group,Financials,8.495085,35715563520
ADM,Archer Daniels Midland,Consumer Staples,13.1150675,22985066496
ANET,Arista Networks,Information Technology,34.950672,98291695616
AJG,Arthur J. Gallagher & Co.,Financials,52.344086,87144267776
AIZ,Assurant,Financials,14.267634,10478876672
T,AT&T,Communication Services,18.912752,202281123840
ATO,Atmos Energy,Utilities,21.842407,24199671808
ADSK,Autodesk,Information Technology,51.0,55727190016
ADP,Automatic Data Processing,Industrials,31.336456,122398998528
AZO,AutoZone,Consumer Discretionary,25.31722,63083929600
AVB,AvalonBay Communities,Real Estate,28.102633,30382825472
AVY,Avery Dennison,Materials,20.110985,13879854080
AXON,Axon Enterprise,Industrials,111.21622,41545023488
BKR,Baker Hughes,Energy,14.456376,42654027776
BALL,Ball Corporation,Materials,37.562042,14531223552
BAC,Bank of America,Financials,12.850467,313615515648
BAX,Baxter International,Health Care,,17311184896
BDX,Becton Dickinson,Health Care,38.299664,65323212800
BRK-B,Berkshire Hathaway,Financials,12.755939,1135855927296
BBY,Best Buy,Consumer Discretionary,16.927568,15313756160
TECH,Bio-Techne,Health Care,59.92857,9284508672
BIIB,Biogen,Health Care,12.376565,20253908992
BLK,BlackRock,Financials,22.524387,146978013184
BX,Blackstone Inc.,Financials,38.151936,168309129216
BK,BNY Mellon,Financials,14.2603445,59383631872
BA,Boeing,Industrials,,130399649792
BKNG,Booking Holdings,Consumer Discretionary,26.809212,152073519104
BSX,Boston Scientific,Health Care,79.488,146960384000
BMY,Bristol Myers Squibb,Health Care,,122126295040
AVGO,Broadcom,Information Technology,78.29629,795193769984
BR,Broadridge Financial Solutions,Industrials,37.169014,27793182720
BRO,Brown & Brown,Financials,35.631886,35235180544
BF-B,Brown–Forman,Consumer Staples,16.468899,16145801216
BLDR,Builders FirstSource,Industrials,13.7428255,14146951168
BG,Bunge Global,Consumer Staples,9.565707,10239174656
BXP,"BXP, Inc.",Real Estate,752.0,11943558144
CHRW,C.H. Robinson,Industrials,26.199482,11956295680
CDNS,Cadence Design Systems,Information Technology,66.67273,70413656064
CZR,Caesars Entertainment,Consumer Discretionary,,5442373632
CPT,Camden Property Trust,Real Estate,81.53333,13306118144
CPB,Campbell's Company (The),Consumer Staples,22.959538,11843789824
COF,Capital One,Financials,14.998272,66454876160
CAH,Cardinal Health,Health Care,25.360594,32959539200
KMX,CarMax,Consumer Discretionary,25.846937,11687261184
CCL,Carnival,Consumer Discretionary,12.819356,26921070592
CARR,Carrier Global,Industrials,51.909836,54716358656
CAT,Caterpillar Inc.,Industrials,14.94515,157569400832
CBOE,Cboe Global Markets,Financials,30.88488,23315040256
CBRE,CBRE Group,Real Estate,41.098415,38842789888
CDW,CDW Corporation,Information Technology,20.2902,21398781952
COR,Cencora,Health Care,39.036877,53311750144
CNC,Centene Corporation,Health Care,9.515056,29783443456
CNP,CenterPoint Energy,Utilities,22.943037,23661352960
CF,CF Industries,Materials,11.482196,12882881536
CRL,Charles River Laboratories,Health Care,777.75,7955076096
SCHW,Charles Schwab Corporation,Financials,26.02341,141113884672
CHTR,Charter Communications,Communication Services,10.549457,52406005760
CVX,Chevron Corporation,Energy,17.087448,292418060288
CMG,Chipotle Mexican Grill,Consumer Discretionary,44.963963,67645022208
CB,Chubb Limited,Financials,13.053281,118784696320
CHD,Church & Dwight,Consumer Staples,46.037975,26853062656
CI,Cigna,Health Care,26.818483,88120942592
CINF,Cincinnati Financial,Financials,10.017206,22788034560
CTAS,Cintas,Industrials,47.150814,82033614848
CSCO,Cisco,Information Technology,26.692984,242118721536
C,Citigroup,Financials,11.8201685,132372316160
CFG,Citizens Financial Group,Financials,13.283829,17594644480
CLX,Clorox,Consumer Staples,39.85831,18020233216
CME,CME Group,Financials,27.088842,94499635200
CMS,CMS Energy,Utilities,22.276278,22188351488
KO,Coca-Cola Company (The),Consumer Staples,28.605692,302842216448
CTSH,Cognizant,Information Technology,16.829268,37541355520
CL,Colgate-Palmolive,Consumer Staples,26.444445,75284815872
CMCSA,Comcast,Communication Services,8.84541,138460938240
CAG,Conagra Brands,Consumer Staples,25.7767,12672845824
COP,ConocoPhillips,Energy,13.107554,130253545472
ED,Consolidated Edison,Utilities,20.757633,38403641344
STZ,Constellation Brands,Consumer Staples,48.997334,33212108800
CEG,Constellation Energy,Utilities,17.27418,64350744576
COO,Cooper Companies (The),Health Care,40.468597,16750396416
